0.0101|165.83433|+35.96994|390|J11033+359   |HD 95735               |411     |11 03 20.24|+35 58 11.80| 4.20|2011-03-18|1|  10.0| |    |HD 95735
0.0827|166.37096|+43.52658|392|J11054+435   |BD+44 2051A            |412 A   |11 05 29.03|+43 31 35.70| 5.54|2012-02-11|1|  50.0| |    |BD+44 2051
0.5935|166.38054|+43.52142|393|J11055+435   |BD+44 2051B (WX UMa)   |412 B   |11 05 31.33|+43 31 17.10| 8.74|2012-03-03|1| 900.0| |    |BD+44 2051B
0.0009|166.38054|+43.52142|393|J11055+435   |BD+44 2051B (WX UMa)   |412 B   |11 05 31.33|+43 31 17.10| 8.74|2012-03-03|1| 900.0| |    |BD+44 2051B
0.5203|166.37096|+43.52658|392|J11054+435   |BD+44 2051A            |412 A   |11 05 29.03|+43 31 35.70| 5.54|2012-02-11|1|  50.0| |    |BD+44 2051
0.0004|172.80454|+63.15753|404|J11312+631   |BD+63 695              |430     |11 31 13.09|+63 09 27.10| 7.40|2012-03-06|1|  60.0| |    |BD+63 695
0.1667|175.54396|+26.70847|407|J11421+267   |Ross 905               |436     |11 42 10.55|+26 42 30.50| 6.90|2011-11-14|1| 200.0| |    |Ross 905
0.0011|177.78058|+35.27200|413|J11511+352   |BD+36 2219             |450     |11 51 07.34|+35 16 19.20| 6.42|2012-02-11|1|  60.0| |    |BD+36 2219
0.0007|191.40412|+27.12897|432|J12456+271   |HD 110964              |        |12 45 36.99|+27 07 44.30| 5.09|2012-03-06|1|  30.0| |    |HD 110964
0.0033|223.62179|+16.10111|491|J14544+161ABC|CE Boo                 |569     |14 54 29.23|+16 06 04.00| 6.63|2012-03-06|1|  90.0| |    |CE Boo
0.0053|246.35246|+54.30414|533|J16254+543   |GJ 625                 |625     |16 25 24.59|+54 18 14.90| 6.61|2012-09-02|1| 120.0| |    |GJ 625
0.0008|253.89704| -8.39447|547|J16555-083   |V1054 Oph D (vB 8)     |644 C   |16 55 35.29|-08 23 40.10| 9.78|2012-08-02|2|1200.0|1| 900|vB 8
0.0008|259.97075|+26.50072|559|J17198+265   |V639 Her               |669 B   |17 19 52.98|+26 30 02.60| 8.23|2012-08-06|1| 800.0| |    |V639 Her
0.2726|259.97583|+26.50086|560|J17199+265   |V647 Her               |669 A   |17 19 54.20|+26 30 03.10| 7.27|2012-08-06|1| 600.0| |    |V647 Her
0.0009|259.97583|+26.50086|560|J17199+265   |V647 Her               |669 A   |17 19 54.20|+26 30 03.10| 7.27|2012-08-06|1| 600.0| |    |V647 Her
0.2740|259.97075|+26.50072|559|J17198+265   |V639 Her               |669 B   |17 19 52.98|+26 30 02.60| 8.23|2012-08-06|1| 800.0| |    |V639 Her
0.0185|264.10808|+68.33944|572|J17364+683   |BD+68 946              |687     |17 36 25.94|+68 20 22.00| 5.34|2011-11-11|1|  60.0| |    |BD+68 946
0.0009|266.60450|+27.71706|576|J17464+277AB |mu Her BC              |695 BC  |17 46 25.08|+27 43 01.40| 5.77|2012-09-23|1| 180.0| |    |GJ 695 B
0.0716|269.45204| +4.69458|580|J17578+046   |Barnard's star         |699     |17 57 48.49|+04 41 40.50| 5.24|2012-08-04|1|  80.0| |    |Barnard's star
0.0007|275.61329|+62.05069|600|J18224+620   |LP 103-305             |1227    |18 22 27.19|+62 03 02.50| 8.64|2011-03-18|1| 700.0| |    |LP 103-305
0.0152|278.82637|+45.74386|605|J18353+457   |BD+45 2743             |720 A   |18 35 18.33|+45 44 37.90| 6.88|2011-11-11|1|  90.0| |    |BD+45 2743
1.8538|278.86346|+45.76119|606|J18354+457   |BD+45 2743B (vB 9)     |720 B   |18 35 27.23|+45 45 40.30| 8.89|2011-11-11|1| 500.0| |    |BD+45 2743B
0.0075|280.69442|+59.63053|610|J18427+596N  |HD 173739              |725 A   |18 42 46.66|+59 37 49.90| 5.19|2011-11-12|1| 180.0| |    |HD 173739
0.2028|280.69533|+59.62706|611|J18427+596S  |HD 173740              |725 B   |18 42 46.88|+59 37 37.40| 5.72|2011-11-12|1| 180.0| |    |HD 173740
0.0207|280.69533|+59.62706|611|J18427+596S  |HD 173740              |725 B   |18 42 46.88|+59 37 37.40| 5.72|2011-11-12|1| 180.0| |    |HD 173740
0.2292|280.69442|+59.63053|610|J18427+596N  |HD 173739              |725 A   |18 42 46.66|+59 37 49.90| 5.19|2011-11-12|1| 180.0| |    |HD 173739
0.0029|286.77317|+20.88800|622|J19070+208   |HD 349726              |745 A   |19 07 05.56|+20 53 16.80| 7.30|2012-09-02|1| 150.0| |    |HD 349726
1.9031|286.77317|+20.88800|622|J19070+208   |HD 349726              |745 A   |19 07 05.56|+20 53 16.80| 7.30|2012-09-02|1| 150.0| |    |HD 349726
0.0092|289.23025| +5.16906|627|J19169+051N  |V1428 Aql              |752 A   |19 16 55.26|+05 10 08.60| 5.58|2012-08-05|1|  70.0| |    |V1428 Aql
1.2453|289.24008| +5.15061|628|J19169+051S  |V1298 Aql (vB 10)      |752 B   |19 16 57.62|+05 09 02.20| 9.91|2012-08-03|3|1200.0|1| 900|V1298 Aql
