#2MASS J00182256+4401222
  2|PM I06024+4951  |GJ 3380   |090.62159|+49.86562| 0.07640|3000| 0.1635| 0.1270| 0.01|M5.1  |16.243|14.541|13.048|11.146|15.374|13.885|12.022|10.991| 9.352| 8.738| 8.447|13.088|14.981|11.419| 0.07640|3044| 0.1570| 0.1310| 9.39| 1.219|GJ 3380
#2MASS J06244132+2325585
  3|PM I06246+2325  |Gl 232    |096.17205|+23.43305| 0.14640|3165| 0.1948| 0.1540|-0.18|M4.5  |14.815|13.099|11.810|10.131|13.989|12.470|10.943|10.084| 8.657| 8.180| 7.929|11.984|13.550|10.414| 0.14640|3216| 0.1870| 0.1670| 9.41| 1.508|Gl 232
#2MASS J06521804-0511241
  2|PM I06523-0511  |Gl 250 B  |103.07519|-05.19005| 1.18000|3481| 0.4600| 0.4440| 0.14|M2.3  |11.554|10.045| 9.012| 7.773|10.879| 9.445| 8.453| 7.889| 6.531| 5.940| 5.711| 9.373|10.458| 8.024| 1.18000|3569| 0.4360| 0.4660| 9.41| 4.199|Gl 250 B
#2MASS J06544902+3316058
  3|PM I06548+3316  |Gl 251    |103.70411|+33.26823| 1.66800|3448| 0.3580| 0.3520|-0.02|M3.2  |11.586|10.068| 8.920| 7.464|10.875| 9.460| 8.201| 7.491| 6.111| 5.523| 5.269| 9.189|10.482| 7.726| 1.66800|3487| 0.3490| 0.3650| 9.38| 0.880|Gl 251
#2MASS J07272450+0513329
  3|PM I07274+0513  |Gl 273    |111.85200|+05.22630| 2.39500|3317| 0.3150| 0.2830|-0.11|M3.8  |11.417| 9.892| 8.683| 7.098|10.690| 9.298| 7.875| 7.089| 5.683| 5.123| 4.892| 8.893|10.313| 7.374| 2.39500|3438| 0.2930| 0.2980| 9.44| 7.787|Gl 273
#2MASS J08160798+0118091
  3|PM I08161+0118  |GJ 2066   |124.03331|+01.30256| 1.10100|3500| 0.4610| 0.4520|-0.12|M2.2  |11.657|10.126| 9.081| 7.847|10.953| 9.516| 8.522| 7.968| 6.638| 6.007| 5.773| 9.446|10.537| 8.094| 1.10100|3644| 0.4230| 0.4510| 9.50|10.637|GJ 2066
#2MASS J08294949+2646348
  3|PM I08298+2646  |GJ 1111   |127.45563|+26.77604| 0.20160|2800| 0.1226| 0.0937|-0.15|M6.7  |16.227|14.834|12.974|10.611|15.557|14.253|11.674|10.166| 8.220| 7.617| 7.237|12.643|15.233|10.810|        |    |       |       |     |      |GJ 1111
#2MASS J09142298+5241125
  2|PM I09143+5241  |Gl 338A   |138.59500|+52.68639| 6.08700|3920| 0.5500| 0.6070|-0.01|K7.8  | 9.054| 7.645| 6.756| 5.896| 8.419| 7.066| 6.460| 6.130| 4.928| 4.253| 4.032| 7.228| 8.035| 6.083| 6.08700|3930| 0.5480| 0.5800| 9.41| 0.155|Gl 338A
#2MASS J09142485+5241118
  2|PM I09143+5241  |Gl 338A   |138.59500|+52.68639| 6.08700|3920| 0.5500| 0.6070|-0.01|K7.8  | 9.054| 7.645| 6.756| 5.896| 8.419| 7.066| 6.460| 6.130| 4.928| 4.253| 4.032| 7.228| 8.035| 6.083| 6.08700|3930| 0.5480| 0.5800| 9.41| 0.155|Gl 338A
#2MASS J10112218+4927153
  3|PM I10113+4927  |Gl 380    |152.84254|+49.45431|14.95000|4131| 0.6510| 0.7070| 0.24|K7.6  | 7.939| 6.538| 5.684| 4.883| 7.325| 5.975| 5.436| 5.123| 3.981| 3.325| 3.187| 6.167| 6.932| 5.059|14.95000|4162| 0.6420| 0.6870| 9.43| 0.631|Gl 380
#2MASS J10121768-0344441
  2|PM I10122-0344  |Gl 382    |153.07364|-03.74563| 2.18600|3623| 0.5220| 0.5250| 0.13|M1.9  |10.751| 9.281| 8.264| 7.058|10.089| 8.689| 7.722| 7.197| 5.904| 5.270| 5.082| 8.635| 9.688| 7.305| 2.18600|3696| 0.5000| 0.5320| 9.48| 2.856|Gl 382
#2MASS J10285555+0050275
  3|PM I10289+0050  |Gl 393    |157.23155|+00.84110| 1.61200|3548| 0.4200| 0.4260|-0.18|M2.2  |11.160| 9.665| 8.621| 7.386|10.484| 9.066| 8.053| 7.514| 6.204| 5.632| 5.354| 8.985|10.076| 7.635| 1.61200|3621| 0.4020| 0.4280| 9.45| 2.838|Gl 393
#2MASS J10505201+0648292
