#2MASS J00182256+4401222
J0858+1945b            |1|  |08 58 15.12|+19 45 47.0|-0.862|-0.054| 6.889|M7V  |M5.5V| 5.22| 1.72| 0.785| 0.08|  13|  15.9| 6|  2|2M|Simbad
#2MASS J10285555+0050275
J1028+0050             |1|  |10 28 55.55|+00 50 27.5|-0.602|-0.735| 5.311|M2V  |M2V  | 4.10| 3.52| 0.945|-0.18|   9|   9.9| 6|  1|2M|Simbad
#2MASS J10494561+3532515
J1049+3532             |1|  |10 49 45.56|+35 32 50.5|-0.656|-1.025| 7.743|M5V  |M4.5V| 2.90| 1.56| 0.822|-0.57|  54|  74.7| 7|  1|2M|Simbad
#2MASS J10562886+0700527
J1056+0700             |2|  |10 56 28.91|+07 00 53.2|-3.842|-2.725| 6.084|M7V  |M5.5V| 7.20| 2.13| 0.777| 0.30|  23|  21.0| 2|  0|2M|Simbad
#2MASS J11200526+6550470
J1120+6550             |1|  |11 20 04.83|+65 50 47.4|-2.950| 0.186| 5.534|M1V  |M0V  | 2.51| 2.47| 0.957|-0.72|  47|  67.2| 7|  0|2M|Simbad
#2MASS J11421096+2642251
J1142+2642             |2|  |11 42 11.08|+26 42 23.6| 0.884|-0.815| 6.073|M3V  |M2.5V| 4.91| 4.09| 0.947| 0.02|  12|  12.6| 8|  1|2M|Simbad
#2MASS J11505787+4822395
J1150+4822             |1|  |11 50 57.73|+48 22 38.6|-1.540|-0.960| 7.637|M5V  |M4.5V| 5.36| 2.65| 0.854| 0.10| -26| -33.0| 9|  1|2M|Simbad
#2MASS J11510737+3516188
J1151+3516             |1|  |11 51 07.34|+35 16 19.2|-0.272| 0.253| 5.606|M2V  |M1V  | 3.79| 3.88| 0.972|-0.27|  -1| -21.3| 8|  1|2M|Simbad
#2MASS J11535267+0659561
J1153+0659             |1|  |11 53 52.67|+06 59 56.3| 0.312|-0.899|10.262|M7V  |M6V  | 5.72| 1.70| 0.752| 0.16|   0|   9.9|15|  1|2M|Simbad
#2MASS J12141654+0037263
J1214+0037             |1|  |12 14 16.56|+00 37 26.4|-0.954|-0.281| 7.540|M5V  |M5V  | 6.91| 3.00| 0.834| 0.28| -13|  -3.0| 7|  1|2M|Simbad
#2MASS J12185939+1107338
J1218+1107             |2|  |12 18 59.41|+11 07 33.9|-1.263| 0.199| 7.570|M6V  |M5V  | 5.79| 2.15| 0.827| 0.17|   7|  22.7| 7|  1|2M|Simbad
#2MASS J12331738+0901157
J1233+0901             |2|  |12 33 17.41|+09 01 15.7|-1.730| 0.203| 6.042|M6V  |M5V  | 5.85| 2.44| 0.813| 0.18|   1|   6.7| 3|  1|2M|Simbad
#2MASS J12475664+0945050
J1247+0945             |1|  |12 47 56.66|+09 45 05.1|-1.007|-0.462| 6.362|M4V  |M3.5V| 4.99| 3.33| 0.878| 0.03|  11|  22.0| 6|  1|2M|Simbad
#2MASS J13003350+0541081
J1300+0541             |1|  |13 00 33.52|+05 41 08.1|-0.934| 0.215| 7.660|M5V  |M4.5V| 6.11| 2.85| 0.854| 0.22| -23| -18.9| 9|  1|2M|Simbad
#2MASS J13314666+2916368
J1331+2916             |1|  |13 31 46.62|+29 16 36.8|-0.235|-0.137| 6.720|M5V  |M4V  | 5.62| 3.97| 0.850| 0.15|  -7| -34.7| 6|  1|2M|Simbad
#2MASS J14303787+5943249
J1430+5943             |1|  |14 30 37.79|+59 43 25.1|-0.811| 0.163| 9.788|M8/9V|M5.5V| 4.53| 0.89| 0.732|-0.07|  -7| -21.0|10|  0|2M|Simbad
#2MASS J14542923+1606039
J1454+1606             |1|  |14 54 29.24|+16 06 03.8| 0.278|-0.133| 5.770|M3V  |M2V  | 4.65| 4.89| 0.972|-0.04|  -9|   6.7| 9|  1|2M|Simbad
#2MASS J14562776+1755090
J1456+1754             |1|  |14 56 27.16|+17 55 00.0|-0.850| 0.481| 9.852|M5V  |M4.5V| 4.69| 2.35| 0.826|-0.03|  13| -44.0|21|  0|2M|Simbad
#2MASS J17032384+5124219
J1703+5124             |1|  |17 03 23.87|+51 24 22.9| 0.125| 0.610| 7.921|M4V  |M4.5V| 5.56| 2.43| 0.860| 0.14|  42|  66.2|11|  1|2M|Simbad
#2MASS J17174408+1140117
J1717+1140             |1|  |17 17 44.08|+11 40 11.9|-0.342|-0.419| 8.931|M5V  |M5V  | 5.17| 2.34| 0.830| 0.07| -61| -47.2|14|  1|2M|Simbad
#2MASS J17195298+2630026
J1719+2630W            |1|  |17 19 52.98|+26 30 02.8|-0.217| 0.354| 7.351|M5V  |M4.5V| 6.94| 4.14| 0.848| 0.28| -38| -26.7| 7|  1|2M|Simbad
#2MASS J17195422+2630030
J1719+2630E            |1|  |17 19 54.21|+26 30 03.0|-0.218| 0.349| 6.422|M3V  |M3.5V| 6.53| 4.62| 0.914| 0.26| -38| -15.2| 8|  2|2M|Simbad
#2MASS J18222719+6203025
J1822+6203             |1|  |18 22 27.11|+62 03 01.8|-0.948|-1.237| 7.743|M5V  |M4.5V| 5.87| 2.62| 0.869| 0.18| -18| -10.0|11|  1|2M|Simbad
#2MASS J18351833+4544379
J1835+4545             |1|  |18 35 27.29|+45 45 40.9| 0.460| 0.361| 8.075|M4V  |M3.5V| 4.32| 3.08| 0.876|-0.12| -29| -29.8|13|  1|2M|Simbad
#2MASS J18410977+2447143
J1841+2447N            |1|  |18 41 09.81|+24 47 19.5| 0.496| 0.081| 7.774|M5V  |M5V  | 6.90| 2.32| 0.822| 0.28|  -9|   6.1| 8|  2|2M|Simbad
#2MASS J18410981+2447195
J1841+2447S            |1|  |18 41 09.77|+24 47 14.3| 0.496| 0.081| 6.616|M5V  |M4.5V| 6.88| 3.50| 0.862| 0.28|  -9|   0.1| 6|  2|2M|Simbad
#2MASS J19070556+2053168
