Star Ids;R.A.;Dec;Sp. Type;Mv [mag];;log (g);[Fe/H];Parallax [mas];Ref
RWCyg;20 28 50.6;+39 58 54.4;M3toM4Ia;?;3200;?;?;1,28;?
Gl388;10 19 36.3;+19 52 12.0;M3V;?;3470;?;?;?;?
HD204585;21 28 59.8;+22 10 45.9;M4.5IIIa;?;3380;?;?;5,41;?
Gl268AB;07 10 01.8;+38 31 46.0;M4.5V;?;3300;?;?;157,24;?
HD019058;03 05 10.6;+38 50 24.9;M4II;3,42;3500;0,80;-0,15;10,03;50
HD214665;22 38 37.9;+56 47 44.2;M4+III;?;3430;?;?;7,59;?
HD027598;04 20 41.3;?16 49 47.9;M4-III;?;3430;?;?;1,76;?
HD004408;00 46 32.9;+15 28 31.8;M4IIIa;5,42;3522;?;?;5,55;51
Gl213;05 42 09.3;+12 29 21.6;M4V;?;3370;?;?;172,78;?
Gl299;08 11 57.6;+08 46 22.0;M4V;?;3370;?;?;143,00;?
HD094705;10 56 01.5;+06 11 07.3;M5.5III;5,98;3300;1,0;?;10,03;52
HD014386;02 19 20.8;?02 58 39.5;M5e-M9eIII;?;3330;?;?;7,79;?
HD156014;17 14 38.8;+14 23 25.2;M5Ib-II;?;2800;?;?;8,53;?
HD175865;18 55 20.1;+43 56 45.9;M5III;4,20;3420;0,50;0,14;9,33;11
Gl51;01 03 19.7;+62 21 55.7;M5V;?;3240;?;?;95,50;?
Gl866;22 38 33.7;?15 17 57.3;M6;12,18;2747;5,09;?;300,00;11
GJ1111;08 29 49.3;+26 46 33.7;M6.5V;?;2990;?;?;275,80;?
HD069243;08 16 33.8;+11 43 34.4;M6e-M9eIII;?;3240;?;?;-0,27;?
HD018191;02 55 48.5;+18 19 53.9;M6III;5,80;3250;0,30;?;8,08;11
HD196610;20 37 54.7;+18 16 06.8;M6III;6,23;3243;?;?;9,16;53
Gl406;10 56 28.9;+07 00 52.8;M6V;?;3050;?;?;?;?
BRI2339-0447;23 42 02.7;?04 31 05.0;M7-8III;?;3200;?;?;?;?
HD108849;12 30 21.0;+04 24 59.1;M7III:;8,24;2944;?;?;5,68;53
HD207076;21 46 31.8;?02 12 45.9;M8IIIv;6,78;2750;?;?;7,39;11
MY-Cep;22 54 31.7;+60 49 39.0;M7-M7Iab;?;2600;?;?;?;?
Gl644C;16 55 35.3;?08 23 40.1;M7V;?;2940;?;?;154,50;?
IRAS14303-1042;14 32 59.9;?10 56 03.6;M8;?;?;?;?;?;?
IRAS14436-0703;14 46 18.4;?07 15 49.8;M8;?;?;?;?;?;?
IRAS21284-0747;21 31 06.5;?07 34 20.5;M8;?;?;?;?;?;?
IRAS01037+1219;01 06 26.0;+12 35 53.0;M8III;?;3200;?;?;?;?
Gl752B;19 16 57.6;+05 09 02.2;M8V;?;2640;?;?;164,30;?
LP412-31;03 20 59.7;+18 54 23.3;M8V;?;2640;?;?;68,90;?
BRIB0021-0214;00 24 24.6;?01 58 20.1;M9.5V;?;2600;?;?;86,60;?
BRIB1219-1336;15 08 25.8;+09 36 18.2;M9III;?;3000;?;?;?;?
IRAS15060+0947;12 21 52.5;?13 53 10.0;M9III;?;3000;?;?;?;?
PJ1048-3956;10 48 14.6;?39 56 06.0;M9V;?;2600;?;?;?;?
LHS2065;03 39 35.2;?35 25 44.0;M9V;?;2600;?;?;117,30;?
LHS2924;08 53 36.2;?03 29 32.1;M9V;?;2600;?;?;103,80;?
LP944-20;14 28 43.2;+33 10 39.1;M9V;?;2600;?;?;201,20;?
HD31996;04 59 36.3;?14 48 22.5;C7;?;?;?;?;3,99;?
HD70138;08 19 43.1;?18 15 52.8;C;?;?;?;?;1,19;?
HD57160;07 20 59.0;+24 59 58.0;C;?;?;?;?;1,83;?
HD92055;10 37 33.3;?13 23 04.3;C;?;?;?;?;6,18;?
HD76221;08 55 22.9;+17 13 52.5;C;?;?;?;?;0,90;?
HD44984;06 25 28.2;+14 43 19.1;C;?;?;?;?;2,51;?
HD48664;06 44 40.7;+03 18 58.6;C;?;?;?;?;?;?
HD76846;08 59 48.9;+33 46 26.4;C;?;?;?;?;-0,68;?
HD142143;15 50 46.6;+48 28 58.8;M6.5S;?;?;?;?;3,22;?
BD+44-2267;13 21 18.7;+43 59 14.0;S2.5Z;?;?;?;?;?;?
HD064332;07 53 05.3;?11 37 29.3;S4.5;7,64;3500;0,50;-0,34;3,01;54
HD62164;07 42 17.5;?10 52 47.2;S5-S6;?;?;?;?;?;?
HD44544;06 22 23.8;+03 25 27.8;SC5.5;?;?;?;?;0,30;?
2MASSJ0746+2000AB;07 46 42.6;+20 00 32.0;L0.5;?;?;?;?;81,90;?
2MASSJ0208+2542;02 08 18.3;+25 42 53.0;L1;?;?;?;?;10,67;?
2MASSJ1439+1929;14 39 28.4;+19 29 15.0;L1;?;?;?;?;69,60;?
Kelu-1AB;13 05 40.2;?25 41 06.0;L2;?;?;?;?;53,60;?
2MASSJ1146+2230AB;11 46 34.5;+22 30 53.0;L3;?;?;?;?;36,80;?
2MASSJ1506+1321;15 06 54.4;+13 21 06.0;L3;?;?;?;?;70,92;?
2MASSJ0036+1821;00 36 16.2;+18 21 10.0;L3.5;?;?;?;?;114,20;?
2MASSJ2224-0158;22 24 43.8;?01 58 52.0;L4.5;?;?;?;?;88,10;?
2MASSJ1507-1627;15 07 47.7;?16 27 39.0;L5;?;?;?;?;?;?
SDSSJ0539-0059;05 39 52.0;?00 59 02.0;L5;?;?;?;?;?;?
2MASSJ1515+4847;15 15 00.8;+48 47 42.0;L6;?;?;?;?;95,24;?
2MASSJ0825+2115;08 25 19.7;+21 15 52.0;L7.5;?;?;?;?;93,80;?
DENISJ0255-4700;02 55 03.6;?47 00 51.0;L8;?;?;?;?;201,40;?
SDSSJ1254-0122;12 54 53.9;?01 22 47.0;T2;?;?;?;?;84,90;?
2MASSJ0559-1404;05 59 19.1;?14 04 49.0;T4.5;?;?;?;?;97,70;?
