name FeH-neves teff-Neves sigma-Teff MHRA sigma-MHRA FeH-RA sigma-FeH
Gl 213 -0.11 3167 47 -0.17 0.12 -0.25 0.17
Gl 273 -0.01 3293 26 -0.12 0.12 -0.17 0.17
Gl 299 -0.5 3021 49 -0.32 0.12 -0.46 0.17
Gl 388 0.07 3390 19 0.2 0.12 0.28 0.17
Gl 406 0.18 2887 20 0.14 0.12 0.18 0.17
Gl 581 -0.21 3534 18 -0.06 0.12 -0.1 0.17
Gl 752B 0.06 3789 20 -0.03 0.12 -0.05 0.17
HD 36395 0.22 4012 106 0.25 0.12 0.35 0.17
