2MASS J09360161-2139371|0.148|144.0042|-21.6606|GJ357     |09 36 01|-21 39 38|110.8| 1.9|H   |M2.5  |10.9| 6.475| 0.017| 0.33| 0.03|-0.26|-0.31|GJ357
2MASS J10112218+4927153|0.023|152.8417|+49.4542|GJ380     |10 11 22|+49 27 15|205.2| 0.5|H   |K7    | 6.6| 3.210| 0.030| 0.71| 0.03| 0.02|-0.14|GJ380
2MASS J10121768-0344441|0.167|153.0708| -3.7456|GJ382     |10 12 17|-03 44 44|127.1| 1.9|H   |M1.5  | 9.3| 5.015| 0.020| 0.54| 0.03| 0.22| 0.02|GJ382
2MASS J10285555+0050275|0.138|157.2292| +0.8408|GJ393     |10 28 55|+00 50 27|141.5| 2.2|H   |M2    | 9.7| 5.311| 0.023| 0.44| 0.03| 0.01|-0.14|GJ393
2MASS J10505201+0648292|0.009|162.7167| +6.8081|GJ402     |10 50 52|+06 48 29|147.9| 3.5|H   |M4    |11.6| 6.371| 0.016| 0.26| 0.02| 0.16|-0.02|GJ402
2MASS J10562886+0700527|0.215|164.1167| +7.0147|GJ406     |10 56 28|+07 00 53|419.1| 2.1|Y   |M5.5  |13.5| 6.084| 0.017| 0.10| 0.00| 0.43| 0.19|GJ406
2MASS J11032027+3558203|0.040|165.8333|+35.9697|GJ411     |11 03 20|+35 58 11|392.6| 0.7|H   |M2    | 7.5| 3.360| 0.030| 0.39| 0.03|-0.32|-0.35|GJ411
2MASS J11052903+4331357|0.105|166.3667|+43.5267|GJ412A    |11 05 28|+43 31 36|206.3| 1.0|H   |M0.5  | 8.8| 4.769| 0.020| 0.39| 0.03|-0.39|-0.40|GJ412A
2MASS J11053133+4331170|0.682|166.3667|+43.5267|GJ412A    |11 05 28|+43 31 36|206.3| 1.0|H   |M0.5  | 8.8| 4.769| 0.020| 0.39| 0.03|-0.39|-0.40|GJ412A
2MASS J11093138-2435548|0.079|167.3792|-24.5986|GJ413.1   |11 09 31|-24 35 55| 93.0| 1.7|H   |M2    |10.4| 6.097| 0.023| 0.46| 0.03| 0.08|-0.08|GJ413.1
2MASS J11200526+6550470|0.085|170.0167|+65.8464|GJ424     |11 20 04|+65 50 47|112.1| 1.0|H   |M0    | 9.3| 5.534| 0.017| 0.49| 0.03|-0.29|-0.35|GJ424
2MASS J11421096+2642251|0.024|175.5458|+26.7064|GJ436     |11 42 11|+26 42 23| 98.6| 2.3|H   |M2.5  |10.7| 6.073| 0.016| 0.44| 0.03| 0.24| 0.02|GJ436
2MASS J11474143+7841283|0.019|176.9208|+78.6911|GJ445     |11 47 41|+78 41 28|186.9| 1.7|H   |M3.5  |10.8| 5.954| 0.027| 0.25| 0.02|-0.25|-0.30|GJ445
2MASS J11474440+0048164|0.102|176.9333| +0.8044|GJ447     |11 47 44|+00 48 16|298.2| 1.7|Y   |M4    |11.1| 5.654| 0.024| 0.17| 0.01|-0.14|-0.24|GJ447
2MASS J11510737+3516188|0.069|177.7792|+35.2719|GJ450     |11 51 07|+35 16 19|116.5| 1.2|H   |M1    | 9.8| 5.606| 0.017| 0.46| 0.03|-0.08|-0.19|GJ450
2MASS J12245243-1814303|0.119|186.2167|-18.2422|GJ465     |12 24 52|-18 14 32|113.0| 2.5|H   |M2    |11.3| 6.950| 0.021| 0.26| 0.02|-0.65|-0.56|GJ465
2MASS J12475664+0945050|0.154|191.9833| +9.7514|GJ486     |12 47 56|+09 45 05|119.5| 2.7|H   |M3.5  |11.4| 6.362| 0.018| 0.32| 0.02| 0.23| 0.01|GJ486
2MASS J13004666+1222325|0.143|195.1917|+12.3756|GJ494     |13 00 46|+12 22 32| 85.5| 1.5|H   |M0.5  | 9.8| 5.578| 0.016| 0.61| 0.03| 0.34| 0.12|GJ494
2MASS J13295979+1022376|0.194|202.4958|+10.3769|GJ514     |13 29 59|+10 22 37|130.6| 1.1|H   |M0.5  | 9.0| 5.036| 0.027| 0.53| 0.03|-0.03|-0.15|GJ514
2MASS J13372875+3543039|0.157|204.3667|+35.7175|GJ519     |13 37 28|+35 43 03| 91.4| 1.2|H   |M0    | 9.1| 5.486| 0.021| 0.60| 0.03|-0.15|-0.25|GJ519
2MASS J13454354+1453317|0.188|206.4292|+14.8914|GJ526     |13 45 43|+14 53 29|185.5| 1.1|H   |M1.5  | 8.5| 4.415| 0.017| 0.50| 0.03|-0.07|-0.18|GJ526
2MASS J14341683-1231106|0.198|218.5667|-12.5194|GJ555     |14 34 16|-12 31 10|158.5| 2.6|J05 |M3.5  |11.3| 5.939| 0.034| 0.29| 0.02| 0.40| 0.14|GJ555
2MASS J14542923+1606039|0.059|223.6208|+16.1008|GJ569A    |14 54 29|+16 06 03|103.6| 1.7|H   |M2.5  |10.2| 5.770| 0.018| 0.48| 0.03| 0.16|-0.03|GJ569A
2MASS J14572643-2124384|0.124|224.3583|-21.4114|GJ570B    |14 57 26|-21 24 41|169.7| 1.0|S99 |M1    | 8.0| 4.246| 0.033| 0.57| 0.03|-0.08|-0.19|GJ570B
2MASS J15192689-0743200|0.204|229.8583| -7.7222|GJ581     |15 19 26|-07 43 20|160.9| 2.6|H   |M3    |10.6| 5.837| 0.023| 0.30| 0.02|-0.10|-0.20|GJ581
2MASS J16240913+4821112|0.055|246.0375|+48.3528|GJ623A    |16 24 09|+48 21 10|124.1| 1.2|H   |M2.5  |10.3| 5.915| 0.023| 0.38| 0.03|-0.15|-0.24|GJ623A
2MASS J16252459+5418148|0.092|246.3500|+54.3039|GJ625     |16 25 24|+54 18 14|153.5| 1.0|H   |M1.5  |10.1| 5.833| 0.024| 0.32| 0.03|-0.42|-0.41|GJ625
2MASS J16301808-1239434|0.015|247.5750|-12.6625|GJ628     |16 30 18|-12 39 45|233.0| 1.6|H   |M3.5  |10.1| 5.075| 0.024| 0.30| 0.02| 0.11|-0.06|GJ628
2MASS J16450635+3330330|0.073|251.2750|+33.5092|GJ638     |16 45 06|+33 30 33|102.0| 0.7|H   |K7    | 8.1| 4.712| 0.021| 0.71| 0.03| 0.03|-0.13|GJ638
