2MASS J10562886+0700527|0.039|164.1208| +7.0150|Gl406     | |10 56 29|+07 00 54|419.1| 2.1|H  |M6V   |13.4| 6.084| 0.017| 0.10| 0.00| 0.18|Gl406
2MASS J11093138-2435548|0.113|167.3792|-24.6000|Gl413.1   | |11 09 31|-24 36 00| 93.0| 1.7|H  |M2    |10.4| 6.097| 0.023| 0.46| 0.03|-0.12|Gl413.1
2MASS J11431977-5150255|0.058|175.8333|-51.8397|Gl438     | |11 43 20|-51 50 23|119.0|10.2|R  |M0    |10.4| 6.320| 0.021| 0.33| 0.03|-0.39|Gl438
2MASS J11474440+0048164|0.102|176.9333| +0.8044|Gl447     | |11 47 44|+00 48 16|299.6| 2.2|H  |M4    |11.1| 5.654| 0.024| 0.17| 0.01|-0.18|Gl447
2MASS J12245243-1814303|0.124|186.2208|-18.2417|Gl465     | |12 24 53|-18 14 30|113.0| 2.5|H  |M3V   |11.3| 6.950| 0.021| 0.26| 0.02|-0.66|Gl465
2MASS J12375231-5200055|0.121|189.4708|-52.0017|Gl479     | |12 37 53|-52 00 06|103.2| 2.3|H  |M3V   |10.7| 6.020| 0.021| 0.43| 0.03| 0.02|Gl479
2MASS J12384914-3822527|0.168|189.7083|-38.3814|LHS337    | |12 38 50|-38 22 53|156.8| 2.0|H  |M4.5V |12.7| 7.386| 0.021| 0.15| 0.01|-0.25|LHS337
2MASS J12475664+0945050|0.148|191.9875| +9.7533|Gl486     | |12 47 57|+09 45 12|119.5| 2.7|H  |M3.5  |11.4| 6.362| 0.018| 0.32| 0.02| 0.06|Gl486
2MASS J13295979+1022376|0.060|202.5000|+10.3767|Gl514     | |13 30 00|+10 22 36|130.6| 1.1|H  |M1V   | 9.1| 5.036| 0.027| 0.53| 0.03|-0.16|Gl514
2MASS J13454354+1453317|0.055|206.4333|+14.8917|Gl526     | |13 45 44|+14 53 30|185.5| 1.1|H  |M1.5V | 8.5| 4.415| 0.017| 0.50| 0.03|-0.20|Gl526
2MASS J14294291-6240465|0.015|217.4292|-62.6797|Gl551     | |14 29 43|-62 40 47|771.6| 2.6|H  |M5.5  |11.1| 4.310| 0.030| 0.12| 0.01| 0.00|Gl551
2MASS J14341683-1231106|0.086|218.5708|-12.5183|Gl555     | |14 34 17|-12 31 06|165.0| 3.3|H  |M3.5V |11.3| 5.939| 0.034| 0.28| 0.02| 0.17|Gl555
2MASS J14542923+1606039|0.057|223.6208|+16.1011|Gl569A    | |14 54 29|+16 06 04|101.9| 1.7|H  |M2.5  |10.2| 5.770| 0.018| 0.49| 0.03|-0.08|Gl569A
2MASS J15192689-0743200|0.211|229.8583| -7.7214|Gl581     | |15 19 26|-07 43 17|160.9| 2.6|H  |M2.5V |10.6| 5.837| 0.023| 0.30| 0.02|-0.21|Gl581
2MASS J15321302-4116314|0.066|233.0542|-41.2767|Gl588     | |15 32 13|-41 16 36|168.7| 1.3|H  |M2.5V | 9.3| 4.759| 0.024| 0.47| 0.03| 0.07|Gl588
2MASS J16200321-3731485|0.201|245.0167|-37.5281|Gl618A    | |16 20 04|-37 31 41|119.8| 2.5|H  |M3V   |10.6| 5.950| 0.021| 0.39| 0.03|-0.08|Gl618A
