2MASS J08294949+2646348|0.0000|127.45560|+26.77604|GJ 1111     | 3.6|14.81| 7.260|2008-02-16| 746| 5.661| 0.039| 1.039| 0.038| 0.758| 0.002|7|2769| 26|-0.12| 0.12|-0.19| 0.17|GJ 1111                |127.45560|+26.77604
2MASS J08412013+5929505|0.0000|130.33389|+59.49739|LHS 252     |10.0|15.05| 8.668|2007-11-17| 772| 6.004| 0.036| 2.287| 0.036| 0.798| 0.002|6|2898| 17| 0.00| 0.12|-0.01| 0.17|LHS 252                |130.33389|+59.49739
2MASS J08533619-0329321|0.0000|133.40082|-03.49225|LHS 2065    | 8.5|18.80| 9.942|2008-02-16| 264| 7.252| 0.104| 1.316| 0.099| 0.687| 0.003|8|2564| 40| 0.12| 0.12| 0.16| 0.17|LHS 2065               |133.40082|-03.49225
2MASS J08581519+1945470|0.0151|134.56304|+19.76308|GJ 1116 AB  | 5.2|14.06| 6.889|2009-02-05|1094| 5.735| 0.028| 1.709| 0.025| 0.797| 0.002|6|2896| 18|-0.08| 0.12|-0.12| 0.17|WDS J08582+1945AB      |134.56304|+19.76308
2MASS J08585633+0828259|0.0000|134.73471|+08.47386|G 041-014   | 5.6|10.89| 5.688|2009-12-24| 857| 5.324| 0.033| 3.309| 0.031| 0.875| 0.002|4|3178| 41|-0.02| 0.12|-0.03| 0.17|G 041-014              |134.73471|+08.47386
2MASS J09142298+5241125|0.0000|138.59496|+52.68659|Gl 338 A    | 6.2| 7.64| 3.990|2009-02-05| 243| 4.045| 0.082| 4.358| 0.081| 1.038| 0.003|0|4031| 56|-0.13| 0.12|-0.18| 0.17|Gl 338 A               |138.59496|+52.68659
2MASS J09142485+5241118|0.0000|138.60290|+52.68641|Gl 338 B    | 6.3| 7.70| 4.140|2009-02-05| 350| 4.023| 0.119| 4.475| 0.107| 1.019| 0.004|0|3869| 15|-0.11| 0.12|-0.15| 0.17|Gl 338 B               |138.60290|+52.68641
2MASS J10481258-1120082|0.0000|162.05243|-11.33562|LHS 292     | 4.5|15.60| 7.926|2009-12-24| 870| 4.791| 0.035| 0.294| 0.035| 0.759| 0.002|7|2772| 25|-0.28| 0.12|-0.41| 0.17|LHS 292                |162.05243|-11.33562
2MASS J10505201+0648292|0.0000|162.71680|+06.80812|Gl 402      | 5.6|11.64| 6.371|2009-12-24|1452| 7.144| 0.021| 3.882| 0.017| 0.904| 0.001|3|3334| 23| 0.15| 0.12| 0.20| 0.17|Gl 402                 |162.71680|+06.80812
2MASS J10562886+0700527|0.0000|164.12027|+07.01466|Gl 406      | 2.4|13.54| 6.084|2009-12-24|1860| 7.994| 0.015| 1.977| 0.015| 0.794| 0.001|6|2887| 20| 0.14| 0.12| 0.18| 0.17|Gl 406                 |164.12027|+07.01466
2MASS J11032027+3558203|0.0000|165.83414|+35.96988|Gl 411      | 2.5| 7.49| 3.254|2009-02-05| 444| 3.115| 0.065| 2.623| 0.059| 0.945| 0.002|2|3526| 18|-0.28| 0.12|-0.41| 0.17|Gl 411                 |165.83414|+35.96988
2MASS J11052903+4331357|0.0000|166.36907|+43.52678|Gl 412 A    | 4.8| 8.82| 4.769|2009-02-05| 337| 3.431| 0.091| 2.618| 0.085| 0.983| 0.003|1|3684| 20|-0.28| 0.12|-0.40| 0.17|Gl 412 A               |166.36907|+43.52678
2MASS J11053133+4331170|0.0000|166.38055|+43.52140|Gl 412 B    | 4.8|14.45| 7.839|2009-02-05| 367| 5.138| 0.076| 0.385| 0.074| 0.804| 0.003|6|2915| 18|-0.27| 0.12|-0.39| 0.17|Gl 412 B               |166.38055|+43.52140
2MASS J11421096+2642251|0.0250|175.54657|+26.70629|Gl 436      |10.2|10.67| 6.073|2008-02-17| 997| 5.373| 0.029| 4.302| 0.024| 0.932| 0.002|3|3469| 17| 0.03| 0.12| 0.04| 0.17|Gl 436                 |175.54657|+26.70629
2MASS J11474143+7841283|0.0000|176.92241|+78.69116|Gl 445      | 5.4|10.80| 5.954|2009-02-05| 201| 3.884| 0.145| 2.825| 0.135| 0.878| 0.004|4|3195| 38|-0.17| 0.12|-0.25| 0.17|Gl 445                 |176.92241|+78.69116
2MASS J11474440+0048164|0.0000|176.93502|+00.80457|Gl 447      | 3.3|11.12| 5.654|2009-02-05| 304| 5.655| 0.092| 3.006| 0.088| 0.853| 0.003|4|3065| 69| 0.00| 0.12|-0.01| 0.17|Gl 447                 |176.93502|+00.80457
2MASS J12185939+1107338|0.0000|184.74748|+11.12608|Gl 1156     | 6.5|13.79| 7.570|2009-02-05| 505| 6.645| 0.058| 2.765| 0.057| 0.792| 0.002|6|2881| 20| 0.11| 0.12| 0.15| 0.17|Gl 1156                |184.74748|+11.12608
2MASS J12331738+0901157|0.0000|188.32243|+09.02105|Gl 473 AB   | 4.3|12.44| 6.042|2009-02-05| 413| 6.368| 0.072| 2.652| 0.085| 0.825| 0.003|5|2979| 32| 0.05| 0.12| 0.05| 0.17|Gl 473                 |188.32243|+09.02105
2MASS J13454354+1453317|0.0000|206.43240|+14.89152|Gl 526      | 5.4| 8.46| 4.415|2010-05-22|1996| 3.646| 0.015| 3.207| 0.014| 0.973| 0.001|2|3642| 17|-0.21| 0.12|-0.30| 0.17|Gl 526                 |206.43240|+14.89152
2MASS J14284323+3310391|0.0000|217.18014|+33.17754|LHS 2924    |10.8|19.74|10.744|2008-02-17| 560| 4.995| 0.049| 0.845| 0.053| 0.661| 0.002|9|2492| 43|-0.13| 0.12|-0.19| 0.17|LHS 2924               |217.18014|+33.17754
