7     3900 
10     3900 
10.5     3800 
11     3700 
11.5     3600  
11.5     3600
12     3500 
12     3500 
12     3500 
12     3500
12     3500 
12.5     3400 
12.5     3400 
12.5     3400 
13     3300 
13     3300 
13     3300
13     3300
13     3300 
13     3300
13     3300 
13     3300
13     3300
13.5     3200
13.5     3200
13.5     3200 
13.5     3200
13.5     3200
13.5     3200
13.5     3200 
13.5     3200
14     3200
14     3200 
14     3200
14     3200
14     3200
14     3200
14     3200
14     3200
14     3200
14     3200
14     3200 
14     3200
14     3200
14     3200
14     3200
14     3200
14.5     3100
14.5     3100 
14.5     3100
14.5     3100
14.5     3100
14.5     3100
14.5     3100
14.5     3100
14.5     3100 
14.5     3100
14.5     3100 
14.5     3100 
14.5     3100 
14.5     3100 
14.5     3100 
14.5     3100 
14.5     3100 
15     2900
15     2900
15     2900
15.5     2800
15.5     2800
15.5     2800
15.5     2800
16     2800
16     2800
16.5     2700
16.5     2700
16.5     2700 
16.5     2700
17     2700
17     2700
17     2700
17.5     2600
17.5     2600
17.5     2600
17.5     2600 
17.5     2600
18     2600
18     2600
18     2600
18     2600
18     2600
18.5     2500
18.5     2500
18.5     2500
19         2500
19.5     2500
19.5     2500
  11.5     3700
  11.5     3700
  11.5     3600 
  11.5     3600
  12     3600 
  12     3600 
  12     3600 
  12     3500 
  12     3500 
 12     3500  
  12     3500 
  12     3500 
  12     3500 
  12     3500 
  12     3500 
  12.5     3500 
  12.5     3500 
  12.5     3500 
  12.5     3500 
  12.5     3500
  12.5     3400 
  12.5     3400 
  12.5     3400 
  13     3400 
  13     3400 
  13     3400 
  13.5     3400 
  14     3300 
 14     3200 
  14     3200
 14     3200 
  14     3200 
  14     3100 
  14     3100
  14     3100
  14     3100 
  14.5     3100 
  14.5     3100 
 14.5 3000
  15     3100 
  15     3100 
   15     3000
  15     3000
  15     3000 
  15.5     3000 
  15.5     3000
 15.5  2900 
  16     2900 
  16.5     2800
  16.5     2800
  17     2800
  17.5     2700 
  18     2700 
  17     2700 
  18     2700 

