2MASS J02050492-1736528|All|PM I02050-1736  |  9724|5856|2250|1|02 05 04.8|-17 36 52| 0.1094|VL07| 1.315|-0.176|10.24|HIPPA|11.73|10.32|10.95| 9.61| 8.43| 6.542| 5.898| 5.662|A|M3|S| 0.575| 0.539| 0.788| -7.57| 1.281| 1.235| -0.42|-0.08|3600|PHX| | 0.44| | 0.029| | 0.46|02050492-1736528|0
2MASS J02135359-3202282|All|PM I02138-3202  | 10395|7007| 979|1|02 13 53.6|-32 02 28| 0.0797|VL07| 0.758|-0.534|10.36|HIPPA|11.80|10.46|11.07| 9.78| 8.78| 6.961| 6.327| 6.093|A|M2|S| 0.638| 0.594| 0.820| -7.38| 1.144| 1.066| -0.46| 0.01|3757|PHX| | 0.51| | 0.045| | 0.55|02135359-3202282|0
2MASS J02333717+2455392|All|PM I02336+2455  |      |    |    | |02 33 37.2|+24 55 37| 0.1024|VA95| 0.052|-0.661|13.00|APASS|14.65|13.00|13.71|12.35|10.69| 8.472| 7.913| 7.627|A|M5|S| 0.417| 0.407| 0.689|-15.46| 1.996| 2.760|  3.09| 0.01|3190|PHX|-| 0.19|-| 0.003|-| 0.14|02333717+2455392|0
2MASS J02361535+0652191|All|PM I02362+0652  |      |    |    | |02 36 15.3|+06 52 18|       |    | 1.813| 1.447|11.74|APASS|13.25|11.74|12.41|11.06| 9.54| 7.333| 6.793| 6.574|A|M4|S| 0.420| 0.433| 0.731|-13.18| 1.736| 2.136| -0.42|-0.02|3168|PHX|-| 0.19|-| 0.003|-| 0.14|02361535+0652191|0
2MASS J02441537+2531249|All|PM I02442+2531  | 12781|1772| 986|1|02 44 15.5|+25 31 24| 0.1332|VL07| 0.864|-0.364|10.59|HIPPA|12.15|10.70|11.34|10.00| 8.69| 6.752| 6.197| 5.961|A|M3|S| 0.540| 0.501| 0.758| -9.92| 1.357| 1.524| -0.26|-0.05|3401|PHX| | 0.32| | 0.013| | 0.31|02441537+2531249|0
2MASS J03132299+0446293|All|PM I03133+0446S |      |    |    | |03 13 22.9|+04 46 29| 0.1058|Di14| 1.740| 0.093|13.93|APASS|15.72|13.93|15.18|13.27|11.30| 8.775| 8.208| 7.833|A|M6| | 0.329| 0.380| 0.671|-14.34| 2.271| 4.030|  0.28|     |2992|PHX|-| 0.19|-| 0.003|-| 0.14|03132299+0446293|0
2MASS J03355969-4430453|All|PM I03359-4430  |      |    |    | |03 35 59.7|-44 30 45| 0.2719|He06| 0.678|-0.354|13.06|APASS|14.89|13.06|13.75|12.38|10.27| 7.523| 7.015| 6.610|A|  | |      |      |      |      |      |      |      |     |2999|V-J|-| 0.19|-| 0.003|-| 0.14|03355969-4430453|0
2MASS J04072048-2429129|All|PM I04073-2429  |      |    |    | |04 07 20.5|-24 29 12| 0.0562|Ri10| 0.147|-0.639|12.44|APASS|13.88|12.44|13.05|11.80|10.29| 8.239| 7.678| 7.441|A|M4|S| 0.440| 0.453| 0.746|-11.30| 1.441| 1.772| -0.43| 0.09|3290|PHX| | 0.23| | 0.006| | 0.20|04072048-2429129|0
2MASS J04311147+5858375|All|PM I04311+5858  | 21088|    |    | |04 31 11.5|+58 58 37| 0.1793|VL07| 1.303|-2.047|10.79|HIPPA|     |     |     |     |     | 6.622| 6.012| 5.717|A|M4|S| 0.442| 0.450| 0.744| -9.96| 2.051| 2.105| -0.30| 0.49|3277|PHX| | 0.22| | 0.005| | 0.18|04311147+5858375|0
2MASS J04425581+1857285|All|PM I04429+1857  | 21932|1275|2034|1|04 42 55.8|+18 57 29| 0.1078|VL07| 0.657|-1.116|10.00|HIPPA|11.49|10.14|10.73| 9.46| 8.34| 6.462| 5.824| 5.607|A|M2|S| 0.607| 0.564| 0.796| -8.05| 1.229| 1.257| -0.37| 0.04|3680|PHX| | 0.48| | 0.037| | 0.51|04425581+1857285|0
